  Assembling stringlength.asm...
stringlength.asm(2): error A2013: .MODEL must precede this directive
stringlength.asm(3): error A2034: must be in segment block : stringLength
stringlength.asm(4): error A2034: must be in segment block
stringlength.asm(5): error A2034: must be in segment block
stringlength.asm(6): error A2034: must be in segment block
stringlength.asm(7): error A2034: must be in segment block
stringlength.asm(8): error A2034: must be in segment block
stringlength.asm(9): error A2034: must be in segment block
stringlength.asm(10): error A2034: must be in segment block
stringlength.asm(11): error A2034: must be in segment block
stringlength.asm(12): error A2034: must be in segment block
stringlength.asm(13): error A2034: must be in segment block
stringlength.asm(14): error A2034: must be in segment block
stringlength.asm(15): error A2034: must be in segment block
stringlength.asm(16): error A2034: must be in segment block
stringlength.asm(17): error A2034: must be in segment block
stringlength.asm(18): error A2034: must be in segment block
stringlength.asm(19): error A2034: must be in segment block
stringlength.asm(20): error A2034: must be in segment block
stringlength.asm(21): error A2034: must be in segment block
stringlength.asm(22): error A2034: must be in segment block
stringlength.asm(23): error A2034: must be in segment block
stringlength.asm(24): error A2034: must be in segment block
stringlength.asm(25): error A2034: must be in segment block
stringlength.asm(26): error A2034: must be in segment block
stringlength.asm(27): error A2034: must be in segment block
stringlength.asm(28): error A2034: must be in segment block
stringlength.asm(29): error A2034: must be in segment block
stringlength.asm(30): error A2034: must be in segment block
stringlength.asm(31): error A2034: must be in segment block
stringlength.asm(32): fatal error A1010: unmatched block nesting : stringLength
C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Microsoft\VC\v160\BuildCustomizations\masm.targets(70,5): error MSB3721: The command "ml.exe /c /nologo /Zi /Fo"Debug\stringlength.obj" /W3 /errorReport:prompt  /Tastringlength.asm" exited with code 1.
